id,rate_date,currency_code,currency_name,unit,buying_rate,selling_rate,source,created_at
23,2014-12-31,USD,U.S. Dollar,1,101.12,101.72,NRB,2026-01-08 14:43:20
45,2014-12-30,USD,U.S. Dollar,1,101.57,102.17,NRB,2026-01-08 14:43:20
67,2014-12-29,USD,U.S. Dollar,1,101.4,102.0,NRB,2026-01-08 14:43:20
89,2014-12-28,USD,U.S. Dollar,1,101.4,102.0,NRB,2026-01-08 14:43:20
111,2014-12-27,USD,U.S. Dollar,1,101.4,102.0,NRB,2026-01-08 14:43:20
133,2014-12-26,USD,U.S. Dollar,1,101.33,101.93,NRB,2026-01-08 14:43:20
155,2014-12-25,USD,U.S. Dollar,1,101.33,101.93,NRB,2026-01-08 14:43:20
177,2014-12-24,USD,U.S. Dollar,1,100.96,101.56,NRB,2026-01-08 14:43:20
199,2014-12-23,USD,U.S. Dollar,1,100.89,101.49,NRB,2026-01-08 14:43:20
221,2014-12-22,USD,U.S. Dollar,1,100.98,101.58,NRB,2026-01-08 14:43:20
243,2014-12-21,USD,U.S. Dollar,1,100.98,101.58,NRB,2026-01-08 14:43:20
265,2014-12-20,USD,U.S. Dollar,1,100.98,101.58,NRB,2026-01-08 14:43:20
287,2014-12-19,USD,U.S. Dollar,1,100.68,101.28,NRB,2026-01-08 14:43:20
309,2014-12-18,USD,U.S. Dollar,1,101.49,102.09,NRB,2026-01-08 14:43:20
331,2014-12-17,USD,U.S. Dollar,1,101.36,101.96,NRB,2026-01-08 14:43:20
353,2014-12-16,USD,U.S. Dollar,1,100.41,101.01,NRB,2026-01-08 14:43:20
375,2014-12-15,USD,U.S. Dollar,1,99.37,99.97,NRB,2026-01-08 14:43:20
397,2014-12-14,USD,U.S. Dollar,1,99.37,99.97,NRB,2026-01-08 14:43:20
419,2014-12-13,USD,U.S. Dollar,1,99.37,99.97,NRB,2026-01-08 14:43:20
441,2014-12-12,USD,U.S. Dollar,1,99.44,100.04,NRB,2026-01-08 14:43:20
463,2014-12-11,USD,U.S. Dollar,1,98.94,99.54,NRB,2026-01-08 14:43:20
